,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Thanh Long Truong', 'Kandis Wanaroon']","['[VIE] ', '[THA] ']","['21-16', '21-16']",MS - Qualification,20170530
1,"['Pachaarapol Nipornram', 'Androw Yunanto [4]']","['[THA] ', '[INA] ']","['20-22', '21-16', '21-13']",MS - Qualification,20170530
2,"['Vincent Cheng Wei Phuah', 'Ruttanapak Oupthong']","['[MAS] ', '[THA] ']","['21-19', '21-8']",MS - Qualification,20170530
3,"['Jones Ralfy Jansen [3]', 'Olga Konon', 'Hendrik K Clinton', 'Aprilsasi Putri Lejarsar Variella']","['[GER] ', '[GER] ', '[INA] ', '[INA] ']","['21-7', '21-12']",XD - Qualification,20170530
4,"['Phanuwat Srimanta', 'Fahmi Mubarok']","['[THA] ', '[INA] ']","['21-14', '15-21', '21-18']",MS - Qualification,20170530
5,"['Yodsakorn Nualnooplong [8]', 'Weeraphat Phakjarung']","['[THA] ', '[THA] ']","['16-21', '21-17']",MS - Qualification,20170530
6,"['Saran Jamsri', 'Napatarawong Sawasdivanichakorn']","['[THA] ', '[THA] ']","['14-21', '21-11', '21-16']",MS - Qualification,20170530
7,"['Supak Jomkoh', 'Pakin Kuna-Anuvit', 'Arun George', 'Sanyam Shukla']","['[THA] ', '[THA] ', '[IND] ', '[IND] ']","['21-19', '21-16']",MD - Qualification,20170530
8,"['Chan Yin Chak', 'Krisda Kolum']","['[HKG] ', '[THA] ']","['21-8', '21-4']",MS - Qualification,20170530
9,"['Kaninpong Yokard', 'Hoang Nam Nguyen']","['[THA] ', '[VIE] ']","['21-14', '17-21', '21-12']",MS - Qualification,20170530
10,"['Yupeng Bai', 'Peeranut Sangsomporn']","['[CHN] ', '[THA] ']","['21-14', '21-9']",MS - Qualification,20170530
11,"['Andhika Anhar', 'Keshya Nurvita Hanadia', 'Mek Narongrit', 'Supanida Katethong']","['[INA] ', '[INA] ', '[THA] ', '[THA] ']","['21-13', '21-18']",XD - Qualification,20170530
12,"['Kartikey Gulshan Kumar [5]', 'Chaiyasit Sukasem']","['[IND] ', '[THA] ']","['21-13', '21-17']",MS - Qualification,20170530
13,"['Howard Christeven', 'Supachai Chaisin']","['[INA] ', '[THA] ']","['21-11', '21-11']",MS - Qualification,20170530
14,"['Tawan Huansuriya', 'Timothy Chiu [6]']","['[THA] ', '[CAN] ']","['21-16', '21-6']",MS - Qualification,20170530
15,"['Andika Ramadiansyah [4]', 'Mychelle Crhystine Bandaso', 'Milan Dratva', 'Martina Repiska']","['[INA] ', '[INA] ', '[SVK] ', '[SVK] ']","['21-13', '21-12']",XD - Qualification,20170530
16,"['Wasapon Uttamang', 'Kandis Wanaroon', 'Hendrik K Clinton', 'Stefan Indra Hapsara']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['18-21', '4-11']",MD - Qualification,20170530
