,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Kunlavut Vitidsarn', 'Dylan Soedjasa']","['[THA] ', '[NZL] ']","['21-15', '21-14']",MS - Qualification,20180501,"Auckland, New Zealand"
1,"['Kodai Naraoka', 'Yee Han Chong [4]']","['[JPN] ', '[MAS] ']","['21-13', '21-16']",MS - Qualification,20180501,"Auckland, New Zealand"
2,"['Anthony Joe', 'Robert Mann']","['[AUS] ', '[LUX] ']","['21-12', '21-14']",MS - Qualification,20180501,"Auckland, New Zealand"
3,"['Saputra Vicky Angga', 'Oscar Guo']","['[INA] ', '[NZL] ']","['21-11', '21-17']",MS - Qualification,20180501,"Auckland, New Zealand"
4,"['Sun Feixiang', 'Cham Chen']","['[CHN] ', '[AUS] ']","['21-11', '21-10']",MS - Qualification,20180501,"Auckland, New Zealand"
5,"['Riichi Takeshita [3]', 'Ren Pengbo']","['[JPN] ', '[CHN] ']","['21-19', '21-14']",MS - Qualification,20180501,"Auckland, New Zealand"
6,"['Zhou Zeqi', 'Pit Seng Low']","['[CHN] ', '[AUS] ']","['21-14', '21-14']",MS - Qualification,20180501,"Auckland, New Zealand"
7,"['Kwang Hee Heo [2]', 'Lu Guangzu']","['[KOR] ', '[CHN] ']","['21-17', '21-17']",MS - Qualification,20180501,"Auckland, New Zealand"
8,"['Shaunna Li', 'Catelyn Rozario']","['[NZL] ', '[NZL] ']","['15-21', '21-14', '24-22']",WS - Qualification,20180501,"Auckland, New Zealand"
9,"['Adam Jeffrey', 'Kelly Xu', 'Ben Perkinson', 'Ella Smith']","['[NZL] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-10', '21-16']",XD - Qualification,20180501,"Auckland, New Zealand"
10,"['Abhinav Manota', 'Justine Villegas', 'Christopher Steeghs', 'Rebecca Hayley Fong']","['[NZL] ', '[NZL] ', '[NZL] ', '[NZL] ']","['21-10', '21-15']",XD - Qualification,20180501,"Auckland, New Zealand"
11,"['Min Hyuk Kang', 'Ha Na Baek', 'Kevin Zhang', 'Tamara Otene']","['[KOR] ', '[KOR] ', '[NZL] ', '[NZL] ']","['21-12', '21-15']",XD - Qualification,20180501,"Auckland, New Zealand"
12,"['Yukino Nakai', 'Ayumi Mine']","['[JPN] ', '[JPN] ']","['15-21', '21-18', '21-17']",WS - Qualification,20180501,"Auckland, New Zealand"
13,"['Saputra Vicky Angga', 'Anthony Joe']","['[INA] ', '[AUS] ']","['21-15', '21-10']",MS - Qualification,20180501,"Auckland, New Zealand"
14,"['Thomas Ellis', 'Wayne Newman', 'Carlos Luna', 'Jack Wang']","['[NZL] ', '[NZL] ', '[NZL] ', '[NZL] ']","['16-21', '21-15', '21-15']",MD - Qualification,20180501,"Auckland, New Zealand"
15,"['Kwang Hee Heo [2]', 'Zhou Zeqi']","['[KOR] ', '[CHN] ']","['23-21', '21-18']",MS - Qualification,20180501,"Auckland, New Zealand"
16,"['Ji Shuting', 'Isabel Zhong']","['[CHN] ', '[USA] ']","['21-11', '21-10']",WS - Qualification,20180501,"Auckland, New Zealand"
17,"['Akbar Bintang Cahyono', 'Moh Reza Pahlevi Isfahani', 'Chan Alan Yun Lung [2]', 'Niccolo Tagle']","['[INA] ', '[INA] ', '[NZL] ', '[NZL] ']","['21-15', '21-6']",MD - Qualification,20180501,"Auckland, New Zealand"
18,"['Sun Feixiang', 'Riichi Takeshita [3]']","['[CHN] ', '[JPN] ']","['21-10', '21-14']",MS - Qualification,20180501,"Auckland, New Zealand"
19,"['Kodai Naraoka', 'Kunlavut Vitidsarn']","['[JPN] ', '[THA] ']","['15-21', '21-11', '21-14']",MS - Qualification,20180501,"Auckland, New Zealand"
20,"['Vincent Harris', 'Kevin Zhang', 'Ben Perkinson [1]', 'Jasmanjot Virk']","['[NZL] ', '[NZL] ', '[NZL] ', '[NZL] ']","['21-15', '22-20']",MD - Qualification,20180501,"Auckland, New Zealand"
21,"['Hwi Tae Kim', 'Hye Jeong Kim', 'Jonathan Curtin', 'Erena Calder -Hawkins']","['[KOR] ', '[KOR] ', '[NZL] ', '[NZL] ']","['21-9', '21-10']",XD - Qualification,20180501,"Auckland, New Zealand"
